EAN/GTIN,Repetidos,Codigo,Fabricante,Descrição dos Produtos
1789605030174,1,15585,CIPLA,TAMPA DE INSPECAO P/CAIXA EXTRA FINA
1789605030597,2,16020,CIPLA,CAIXA DESCARGA EXT CZ ESCURO
1789605030597,2,2228,FABRIMAR,TORNEIRA JET DIG LINE 250M DIG LINE
1789605035640,1,18741,CIPLA,COMJ REPARO ANTIGO P/VALVULA CD15
2000000000107,1,10533,RACUIA/TERUYA,ARAME GALVANIZADO ROLO C/10MT N14
2000000053820,1,9060,IRWIN,"BROCA P/CONCRETO 9/32 7,0 MM"
2000000059167,1,9036,IRWIN,BROCA A�O RAP 9/64
2000000059402,1,9019,IRWIN,BROCA A�O RAP 1/8
2000000068565,1,20634,PISA,SOQUETE PORCELANA GU 10
2000000073378,1,9030,IRWIN,BROCA A�O RAP 5/32
2000000093444,1,9058,IRWIN,"BROCA P/CONCRETO 5/16 8,0 MM"
2000000102054,1,20185,SAINTS,EMENDA DE MANGUEIRA 5/16 LAT�O
2000000110158,1,5978,SAINTS,INJETOR BRASTEMP/DEVIL PREZADO GAS RUA
2000000207513,1,3391,PISA,FORMAO 3/8(AZUL) HF
2000000428703,1,9256,PISA,RELE FOTOELETR C/JANELA 127V LINCE 42870
2000000428758,1,9257,PISA,RELE FOTOELETRICO C/JANELA 220V LINCE
2000001089606,1,3133,SAINTS,PROTETOR TP DAKO GE PQ
2000001089613,1,3132,SAINTS,PROTETOR TP DAKO GE MD
2000101010012,1,21106,FELINA,LIXEIRA INOX C/PEDAL 3LTS JS2-1
2000101010029,1,3573,FELINA,LIXEIRA DE A�O INOX 5LTS
2000101010036,1,15852,FELINA,LIXEIRA DE A�O INOX 12L
2017454500008,1,4560,RAVENNA,MODULADOR RF BIVOLT MINI PRT
2789895982933,1,20933,DRYKO,DRYKOFITA TERRACOTA 45 VR
3016661147852,1,19391,ARNO,SANDUICHEIRA ARNO PR/INOX 127V SACB
3016661151842,1,19389,ARNO,CAFETEIRA UNO ARNO VM CF06 127V
3016661152917,1,21304,ARNO,GRILL COMP.UNO 127V
3016661155758,1,5372,ARNO,CAFETEIRA CM225DB1 FILTRO
3016661157264,2,20794,ARNO,CAFETEIRA PERFECTTA CFPI 127V ARNO
3016661157264,2,21985,ARNO,CAFETEIRA PERFECTA INOX 12XIC
3045386376803,1,19390,ARNO,CAFETEIRA ARNO SUBITO 2 127V CFS2
3051320130516,1,4117,RAVENNA,FONTE UNIVERSAL REG 1A
3121040058626,1,5376,ARNO,SECADOR ARNO PDRY 127V
