EAN/GTIN,TITULO,MARCA,CATEGORIA,SUB-CATEGORIA,IMAGE,VALOR,ORIGEM
1789605030174,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
1789605030597,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
1789605030597,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
1789605035640,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000000107,Iphone 7 128 gb - vitrine,indisponivel,celulares e smartphones,capa para celular,https://images-americanas.b2w.io/spacey/acom/2022/06/20/liquidaphone-2-topinho_HOME-422f3bb53cb2.png,"R$ 1.765,90",https://www.americanas.com.br/produto/4516741651?pfm_carac=iphone-7128gb&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=61c31561d9fd6edeec579ae6&cor=Preto
2000000053820,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000059167,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000059402,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000068565,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000073378,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000093444,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000102054,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000110158,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000207513,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000428703,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000428758,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000001089606,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000001089613,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000101010012,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000101010029,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000101010036,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2017454500008,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2789895982933,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
3016661147852,Sanduicheira Arno Sanduicheira Arno Sacb Preta 110v,Visite a loja Arno,Cozinha,null,https://m.media-amazon.com/images/I/71Ark9ACbIL._AC_SX450_.jpg,"209,90",https://www.amazon.com.br/Arno-SACB-Sanduicheira-Preta/dp/B076X81YCR/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=3016661147852&qid=1655933034&sr=8-1&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678&th=1
3016661151842,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
3016661152917,Grill Compact Uno Arno Vermelho 110v,Visite a loja Arno,Cozinha,null,https://m.media-amazon.com/images/I/719e7uqfPjL._AC_SX450_.jpg,"206,99",https://www.amazon.com.br/Grill-Compact-Arno-GUNO-Vermelho/dp/B07GFBMC9Q/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=3016661152917&qid=1655933077&sr=8-1&ufe=app_do%3Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b&th=1
3016661155758,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
3016661157264,Cafeteira Filtro Perfectta 600ml Cfpi Arno Perfectta Preto E Inox 110v,Visite a loja Arno,Cozinha,null,https://m.media-amazon.com/images/I/61Kuzrs9xiL._AC_SY450_.jpg,"237,90",https://www.amazon.com.br/Cafeteira-Filtro-Perfectta-600ml-Arno/dp/B07VJJM4D1/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=3016661157264&qid=1655933122&sr=8-1&ufe=app_do%3Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b
3016661157264,Cafeteira Filtro Perfectta 600ml Cfpi Arno Perfectta Preto E Inox 110v,Visite a loja Arno,Cozinha,null,https://m.media-amazon.com/images/I/61Kuzrs9xiL._AC_SY450_.jpg,"237,90",https://www.amazon.com.br/Cafeteira-Filtro-Perfectta-600ml-Arno/dp/B07VJJM4D1/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=3016661157264&qid=1655933136&sr=8-1&ufe=app_do%3Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b
3045386376803,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
3051320130516,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
3121040058626,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
3121040060308,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
3121040061190,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
