EAN/GTIN,TITULO,MARCA,CATEGORIA,SUB-CATEGORIA,IMAGE,VALOR,ORIGEM
1789605030174,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
1789605030597,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
1789605030597,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
1789605035640,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000000107,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000053820,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000059167,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000059402,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000068565,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000073378,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000093444,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000102054,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000110158,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000207513,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000428703,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000000428758,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000001089606,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000001089613,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000101010012,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000101010029,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2000101010036,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2017454500008,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
2789895982933,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
3016661147852,Sanduicheira Arno Sanduicheira Arno Sacb Preta 110v,Arno,Cozinha,Sanduicheiras,https://m.media-amazon.com/images/I/71Ark9ACbIL._AC_SX450_.jpg,"209,90",https://www.amazon.com.br/Arno-SACB-Sanduicheira-Preta/dp/B076X81YCR/
3016661151842,"Cafeteira Filtro Uno, Arno, CF06, Vermelha",Arno,Cozinha,Cafeteiras de Filtro,https://m.media-amazon.com/images/I/71juBl6XPyL._AC_SY550_.jpg,indisponivel,https://www.amazon.com.br/Cafeteira-Filtro-Arno-CF06-Vermelha/dp/B07CX66P2T
3016661152917,Grill Compact Uno Arno Vermelho 110v,Arno,Cozinha,Sanduicheiras,https://m.media-amazon.com/images/I/719e7uqfPjL._AC_SX450_.jpg,"206,99",https://www.amazon.com.br/Grill-Compact-Arno-GUNO-Vermelho/dp/B07GFBMC9Q/
3016661155758,Cafeteira Filtro Preferita 750ml Cfpf Arno Preto 110v,Arno,Cozinha,Cafeteiras de Filtro,https://m.media-amazon.com/images/I/31tJRjTN8jL._AC_SY450_.jpg,"229,90",https://www.amazon.com.br/Cafeteira-Filtro-Preferita-750ml-Arno/dp/B07VF73WPQ/
3016661157264,Cafeteira Filtro Perfectta 600ml Cfpi Arno Perfectta Preto E Inox 110v,Arno,Cozinha,Cafeteiras de Filtro,https://m.media-amazon.com/images/I/61Kuzrs9xiL._AC_SY450_.jpg,"237,90",https://www.amazon.com.br/Cafeteira-Filtro-Perfectta-600ml-Arno/dp/B07VJJM4D1/
3016661157264,Cafeteira Filtro Perfectta 600ml Cfpi Arno Perfectta Preto E Inox 110v,Arno,Cozinha,Cafeteiras de Filtro,https://m.media-amazon.com/images/I/61Kuzrs9xiL._AC_SY450_.jpg,"237,90",https://www.amazon.com.br/Cafeteira-Filtro-Perfectta-600ml-Arno/dp/B07VJJM4D1/
3045386376803,"Cafeteira Subito 2, Arno, CFS2, Preta",Arno,Cozinha,Cafeteiras de Filtro,https://m.media-amazon.com/images/I/71Kpm1ThY-L._AC_SY550_.jpg,indisponivel,https://www.amazon.com.br/Cafeteira-Subito-Arno-CFS2-Preta/dp/B076TN9DFC
3051320130516,Fonte Universal 1000MA 6 Bicos Bivolt Preta 1462 - Alltech,AllTech,Computadores e Informática,"Carregadores, Bases e Docking Stations",https://m.media-amazon.com/images/I/51727JaAivL._AC_SX425_.jpg,indisponivel,https://www.amazon.com.br/Fonte-Universal-1000MA-Bicos-Bivolt/dp/B077JFF5RP
3121040058626,Secador De Cabelo Arno Power Dry 1900w Preto E Rosa 127v,Arno,Secador e Modelador,Secador de Cabelo,https://a-static.mlcdn.com.br/800x560/secador-de-cabelo-arno-power-dry-1900w-preto-e-rosa-127v/almcomercial/627/23f28cae372578e142ba840f4bcdafd7.jpg,indisponivel,https://www.magazineluiza.com.br/secador-de-cabelo-arno-power-dry-1900w-preto-e-rosa-127v/p/bjch399ab3/pf/psec/
3121040060308,Ferro a Vapor Arno Steam Essential 10 Rosa 110V,Arno,Casa,Ferros a Vapor,https://m.media-amazon.com/images/I/71OtCnpmiqL._AC_SX450_.jpg,indisponivel,https://www.amazon.com.br/Ferro-Vapor-Steam-Essential-Arno/dp/B076HBG3TW
3121040061190,"Ferro a Seco, Dry, Vinho/Branco, 110v, Arno",Arno,Casa,Ferros a Vapor,https://m.media-amazon.com/images/I/71yhV9r3Q2L._AC_SX450_.jpg,indisponivel,https://www.amazon.com.br/Ferro-Seco-Arno-Vinho-Branco/dp/B0776X1CX8
